t1_idx,t2_idx,label,t1_class,t2_class,t1_cluster,t2_cluster,t1_path,t2_path,cosine_similarity,change_score
589,680,0,AnnualCrop,AnnualCrop,5,5,/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/AnnualCrop/AnnualCrop_2686.jpg,/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/AnnualCrop/AnnualCrop_2968.jpg,0.6650609,0.33493912
4253,3659,0,Industrial,Industrial,6,6,/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/Industrial/Industrial_690.jpg,/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/Industrial/Industrial_1158.jpg,0.9198034,0.08019662
1918,2305,0,HerbaceousVegetation,HerbaceousVegetation,8,8,/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/HerbaceousVegetation/HerbaceousVegetation_1180.jpg,/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/HerbaceousVegetation/HerbaceousVegetation_2363.jpg,0.73997587,0.26002413
6661,6639,0,Residential,Residential,4,4,/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/Residential/Residential_352.jpg,/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/Residential/Residential_313.jpg,0.87798023,0.12201977
4950,4472,0,Pasture,Pasture,3,3,/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/Pasture/Pasture_692.jpg,/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/Pasture/Pasture_126.jpg,0.8869451,0.11305487
4622,4506,0,Pasture,Pasture,3,3,/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/Pasture/Pasture_1625.jpg,/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/Pasture/Pasture_1362.jpg,0.84817266,0.15182734
7442,7247,0,River,River,6,6,/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/River/River_2388.jpg,/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/River/River_1923.jpg,0.7437848,0.2562152
4674,4665,0,Pasture,Pasture,2,2,/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/Pasture/Pasture_1780.jpg,/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/Pasture/Pasture_1763.jpg,0.92207694,0.07792306
776,469,0,AnnualCrop,AnnualCrop,5,5,/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/AnnualCrop/AnnualCrop_589.jpg,/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/AnnualCrop/AnnualCrop_2353.jpg,0.7937796,0.20622039
8560,8042,0,SeaLake,SeaLake,4,4,/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/SeaLake/SeaLake_589.jpg,/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/SeaLake/SeaLake_180.jpg,0.9006485,0.099351525
1572,1636,0,Forest,Forest,9,9,/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/Forest/Forest_2908.jpg,/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/Forest/Forest_377.jpg,0.9121191,0.08788091
883,394,0,AnnualCrop,AnnualCrop,8,8,/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/AnnualCrop/AnnualCrop_926.jpg,/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/AnnualCrop/AnnualCrop_2151.jpg,0.80603385,0.19396615
6650,6663,0,Residential,Residential,2,2,/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/Residential/Residential_333.jpg,/kaggle/input/datasets/shifasoni/eurosat-rgb/EuroSAT_RGB/Residential/Residential_361.jpg,0.86805564,0.13194436
